Prowess company name,Short name,NIC code,Incorporation year,NSE symbol
AMBASSADOR INTRA HOLDINGS LTD.,NA,64191,1982,NA
AMBER ENTERPRISES INDIA LTD.,NA,28199,1990,AMBER
AMBEY LABORATORIES LTD.,AMBEY LABORATORIES,2021,1985,AMBEY
AMBICA AGARBATHIES AROMA & INDS. LTD.,AMBICA AGARBATHIES,46491,1995,AMBICAAGAR
FUSION MICRO FINANCE LTD.,AMBIENCE FINCAP,64191,1994,FUSION
AMBIKA COTTON MILLS LTD.,0,13111,1988,AMBIKCO
AMBITIOUS PLASTOMAC CO. LTD.,NA,46909,1992,NA
AMCO INDIA LTD.,AMCO,24202,1987,NA
AMFORGE INDUSTRIES LTD.,AMFORGE INDS.,77,1971,AMFORGEIND
AMINES & PLASTICIZERS LTD.,NA,20119,1973,AMNPLST
AMIT INTERNATIONAL LTD.,NA,64990,1994,NA
AMIT SECURITIES LTD.,NA,46620,1992,NA
GIRNAR SPINTEX INDS. LTD.,NA,13111,1991,ASIL
AMRAPALI CAPITAL & FINANCE SERVICES LTD.,NA,46909,1994,NA
AMRAPALI INDUSTRIES LTD.,AMRAPALI INDS.,46498,1988,NA
AMRUTANJAN HEALTH CARE LTD.,AMRUTANJAN,21003,1936,AMRUTANJAN
AMERISE BIOSCIENCES LTD.,NA,64990,1984,NA
JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LTD.,NA,28192,1984,JCHAC
APOLLO PIPES LTD.,NA,222,1985,APOLLOPIPE
VIPUL LTD.,s,64191,1991,VIPULLTD
ANAND PROJECTS LTD.,NA,46909,1936,NA
VASUDHAGAMA ENTERPRISES LTD.,NA,73100,1989,NA
BALAXI PHARMACEUTICALS LTD.,ANANDAM RUBBER CO.,46497,1942,BALAXI
ANANT RAJ LTD.,ANANT RAJ INDS.,41001,1985,ANANTRAJ
SHIKHAR LEASING & TRADING LTD.,NA,64191,1984,NA
ANDHRA CEMENTS LTD.,ANDHRA CEMENTS,23941,1936,ACL
ANDHRA PETROCHEMICALS LTD.,NA,20119,1984,ANDHRAPET
ANDHRA PAPER LTD.,AP PAPER,17013,1964,ANDHRAPAP
ANDHRA PRADESH TANNERIES LTD.,NA,15113,1974,NA
ANDHRA SUGARS LTD.,ANDHRA SUGARS,20119,1947,ANDHRSUGAR
ANDREW YULE & CO. LTD.,ANDREW YULE,34,1919,ANDREWYU
A I CHAMPDANY INDS. LTD.,NA,13135,1917,AICHAMP
A P T PACKAGING LTD.,NA,22209,1980,NA
MODI NATURALS LTD.,AMOIL,10402,1974,NA
SYSCHEM (INDIA) LTD.,NA,2100,1993,NA
SHREE BHAVYA FABRICS LTD.,ANJANI FABRICS,13121,1988,NA
ANJANI FINANCE LTD.,NA,64990,1989,NA
ANJANI PORTLAND CEMENT LTD.,NA,23942,1983,APCL
ANJANI SYNTHETICS LTD.,NA,13121,1984,NA
ANKA INDIA LTD.,NA,64990,1994,NA
AVIVA INDUSTRIES LTD.,NA,46633,1984,NA
WAAREE ENERGIES LTD.,NA,27900,1990,WAAREEENER
ANMOL INDIA LTD.,ANMOL INDIA,46610,1998,ANMOL
SHAILY ENGINEERING PLASTICS LTD.,NA,22209,1980,SHAILY
ANNA INFRASTRUCTURES LTD.,NA,41001,1993,NA
SHIVA TEXYARN LTD.,SHIVA TEXYARN,13111,1980,SHIVATEX
ANSAL BUILDWELL LTD.,ANSAL,41001,1983,NA
ANSAL HOUSING LTD.,NA,41001,1983,ANSALHSG
ANSAL PROPERTIES & INFRASTRUCTURE LTD.,ANSAL PROPERTIES,41001,1967,ANSALAPI
NIBE ORDNANCE & MARITIME LTD.,ANSHUNI,64990,1984,NA
ANTARCTICA LTD.,ANTARCTICA,17099,1991,ANTGRAPHIC
HILIKS TECHNOLOGIES LTD.,NA,62013,1985,NA
ONESOURCE INDUSTRIES & VENTURES LTD.,NA,46909,1994,NA
ANUH PHARMA LTD.,NA,21001,1960,ANUHPHR
ANUROOP PACKAGING LTD.,ANUROOP PACKAGING,17029,1995,NA
NEO INFRACON LTD.,NA,41001,1981,NA
APAR INDUSTRIES LTD.,APAR,19201,1989,APARINDS
APCOTEX INDUSTRIES LTD.,NA,20132,1986,APCOTEXIND
MAXGROW INDIA LTD.,APEEGO,46411,1994,NA
APEEJAY SURRENDRA PARK HOTEL LTD.,NA,55101,1987,PARKHOTELS
APEX CAPITAL & FINANCE LTD.,APEX HOME FINANCE,64990,1985,NA
APLAB LTD.,APLAB,2651,1964,APLAB
APOLLO FINVEST (INDIA) LTD.,NA,649,1985,NA
APOLLO HOSPITALS ENTERPRISE LTD.,APOLLO HOSPITALS,86100,1979,APOLLOHOSP
ADITYA BIRLA MONEY LTD.,NA,64191,1995,BIRLAMONEY
APOLLO SINDOORI HOTELS LTD.,NA,55101,1998,APOLSINHOT
APOLLO TYRES LTD.,APOLLO TYRES,22119,1972,APOLLOTYRE
UTIQUE ENTERPRISES LTD.,e,46620,1985,APPLEIND
EMERALD LEISURES LTD.,APTE AMALGAMATIONS,55101,1948,NA
APTECH LTD.,APTECH,85302,2000,APTECHT
ARAVALI SECURITIES & FINANCE LTD.,NA,77,1980,ARAVALISEC
ARCEE INDUSTRIES LTD.,ARCEE INDS.,24311,1992,NA
POPEES CARES LTD.,NA,46411,1994,SSLFINANCE
ARCHIES LTD.,ARCHIES,4761,1990,ARCHIES
SHARPLINE BROADCAST LTD.,NA,66190,1990,NA
ARCO LEASING LTD.,ARCO LEAS.,64300,1984,NA
ARDI INVESTMENT & TRDG. CO. LTD.,NA,64300,1981,NA
AREX INDUSTRIES LTD.,AREX INDS.,13999,1989,NA
ARFIN INDIA LTD.,ARFIN INDIA,24202,1992,NA
NATIONAL PLASTIC TECHNOLOGIES LTD.,ST,22209,1989,NA
ARIES AGRO LTD.,ARIES AGRO-VET INDS.,2012,1969,ARIES
DISHA RESOURCES LTD.,NA,64300,1995,NA
ARIHANT CAPITAL MARKETS LTD.,NA,64191,1992,ARIHANTCAP
ARIHANT FOUNDATIONS & HOUSING LTD.,AFHL,41001,1992,ARIHANT
AAYUSH WELLNESS LTD.,NA,46201,1984,NA
B N HOLDINGS LTD.,ARIHANT TOURNESOL,10402,1991,NA
ARIHANT'S SECURITIES LTD.,NA,64300,1994,NA
ARKADE DEVELOPERS LTD.,ARKADE DEVELOPERS,41001,1986,ARKADE
ARMAN HOLDINGS LTD.,ARMAN HOLDINGS,46498,1982,NA
ARMAN FINANCIAL SERVICES LTD.,NA,64990,1992,ARMANFIN
RESONANCE SPECIALTIES LTD.,NA,21002,1989,NA
ARNOLD HOLDINGS LTD.,ARNOLD HOLDINGS,64191,1981,NA
ARO GRANITE INDS. LTD.,NA,8102,1988,AROGRANITE
ARROW GREENTECH LTD.,NA,20131,1992,ARROWGREEN
SAFAL SECURITIES LTD.,ARROW SECURITIES,46529,1995,NA
ARROWHEAD SEPERATION ENGG. LTD.,NA,28299,1991,NA
ARTEFACT PROJECTS LTD.,ARTEFACT PROJECTS,71100,1987,NA
ARTSON ENGINEERING LTD.,NA,2410,1978,ARTSONENGG
ARUNA HOTELS LTD.,ARUNA HOTELS,55101,1960,ARUNASUGAR
TAAZA INTERNATIONAL LTD.,ARUNJYOTI ENTP,46692,2001,NA
GUJARAT METALLIC COAL & COKE LTD.,ARVIND CHEMICALS,64191,1992,NA
ARVIND LTD.,ARVIND MILLS,13121,1931,ARVIND
ARYAMAN FINANCIAL SERVICES LTD.,NA,64191,1994,NA
ARYAN SHARE & STOCK BROKERS LTD.,NA,64300,1995,NA
ASAHI INFRASTRUCTURE & PROJECTS LTD.,AIPL,41001,1988,NA
ASAHI INDUSTRIES LTD.,NA,13111,1993,NA
ASAHI INDIA GLASS LTD.,NA,23109,1984,ASAHIINDIA
ASAHI SONGWON COLORS LTD.,ASAHI SONGWON COLORS,20114,1990,ASAHISONG
ASCOM LEASING & INVSTS. LTD.,NA,64990,1986,ASCOM
A B B INDIA LTD.,ABB,2710,1949,ABB
