Prowess company name,Short name,NIC code,Incorporation year,NSE symbol
KAMA HOLDINGS LTD.,NA,64300,2000,NA
S R F LTD.,SRF,20,1970,SRF
S R G HOUSING FINANCE LTD.,NA,64192,1999,SRGHFL
PAN INDIA CORPN. LTD.,NA,70200,1984,SRGINFOTEC
S R G SECURITIES FINANCE LTD.,NA,64990,1995,NA
S R INDUSTRIES LTD.,S R INDS.,15209,1989,NA
JATALIA GLOBAL VENTURES LTD.,S R OILS & FATS,64300,1987,NA
P V P VENTURES LTD.,S S I,41001,1991,PVP
DAM CAPITAL ADVISORS LTD.,NA,66190,1993,DAMCAPITAL
OXYGENTA PHARMACEUTICAL LTD.,S S ORGANICS,21009,1990,NA
S V A INDIA LTD.,NA,46101,1981,NA
S V C INDUSTRIES LTD.,NA,77,1989,ATVPETRO
WE INTERNET LTD.,S V ELECTRICALS,61900,1980,NIVINFRA
S V TRADING & AGENCIES LTD.,S V TRDG. & AGENCIES,64990,1980,NA
ARIGATO UNIVERSE LTD.,NA,46101,1979,NA
SABOO SODIUM CHLORO LTD.,SABOO SODIUM CHLORO,10798,1993,NA
SABRIMALA INDUSTRIES INDIA LTD.,NA,46909,1984,NA
SACHETA METALS LTD.,NA,25994,1990,NA
SADBHAV ENGINEERING LTD.,SADBHAV ENGG.,42101,1988,SADBHAV
SADHANA NITRO CHEM LTD.,SADHANA NITRO CHEM,20119,1973,SADHNANIQ
SADHAV SHIPPING LTD.,SADHAV SHIPPING CO.,50,1996,SADHAV
SAFARI INDUSTRIES (INDIA) LTD.,NA,46909,1980,SAFARI
SAGAR CEMENTS LTD.,NA,23941,1981,SAGCEM
SAGAR SOYA PRODUCTS LTD.,NA,10402,1982,NA
SAGAR SYSTECH LTD.,SAGAR SYSTECH,64191,1984,NA
SAGARSOFT (INDIA) LTD.,NA,62013,1996,NA
G P PETROLEUMS LTD.,NA,19201,1983,GULFPETRO
SAHARA ONE MEDIA & ENTERTAINMENT LTD.,SAHARA INDIA MASS,59113,1981,NA
TRADEWELL HOLDINGS LTD.,NA,64300,1995,NA
AGRIMONY COMMODITIES LTD.,NA,64191,1991,NA
BEST AGROLIFE LTD.,SAHYOG CREDITS,46692,1992,BESTAGRO
SAI CAPITAL LTD.,NA,64300,1995,NA
SAI INDUSTRIES LTD.,SAI INDS.,64300,1991,NA
A M S POLYMERS LTD.,SAI MOH AUTOLINKS,46691,1985,NA
MAHAVIR INDUSTRIES LTD.,SAI WIRES INDIA,70200,1989,NA
SAINIK FINANCE & INDS. LTD.,NA,64990,1991,NA
SAINT-GOBAIN SEKURIT INDIA LTD.,NA,23101,1973,NA
SAKSOFT LTD.,SAKSOFT,62013,1999,SAKSOFT
SAKTHI FINANCE LTD.,SAKTHI FINANCE,64920,1955,SAKTHIFIN
SAKTHI SUGARS LTD.,SAKTHI SUGARS,10721,1961,SAKHTISUG
SALEM ERODE INVESTMENTS LTD.,SALEM ERODE INVSTS.,64990,1931,NA
SALGUTI INDUSTRIES LTD.,SALGUTI INDS.,22203,1984,NA
SALONA COTSPIN LTD.,NA,46411,1994,SALONA
V J T F EDUSERVICES LTD.,SALORA FINANCE,64990,1984,NA
SALORA INTERNATIONAL LTD.,NA,46522,1968,SALORAINTL
SALZER ELECTRONICS LTD.,NA,27331,1985,SALZERELEC
SAM INDUSTRIES LTD.,NA,64300,1994,SAMINDUS
SAMBANDAM SPINNING MILLS LTD.,NA,13111,1973,SAMBANDAM
SAMKRG PISTONS & RINGS LTD.,NA,2811,1985,NA
SAMPRE NUTRITIONS LTD.,NA,10732,1991,NA
SAMRAT FORGINGS LTD.,NA,25910,1981,NA
SAMRAT PHARMACHEM LTD.,SAMRAT PHARMACHEM,2100,1992,NA
SAMTEX FASHIONS LTD.,SAMTEX,64191,1993,NA
SANGUINE MEDIA LTD.,NA,73100,1995,NA
SANCHAY FINVEST LTD.,SANCHAY FINVEST,64300,1991,NA
SANCO INDUSTRIES LTD.,SANCO PLASTICS,27320,1989,SANCO
SANCO TRANS LTD.,NA,49300,1979,NA
SAND PLAST (INDIA) LTD.,NA,23912,1989,NA
SANDESH LTD.,NA,58131,1943,SANDESH
SANDHAR TECHNOLOGIES LTD.,SANDHAR TECHNOLOGIES,29209,1987,SANDHAR
SANDU PHARMACEUTICALS LTD.,NA,46497,1985,NA
SANDUR MANGANESE & IRON ORES LTD.,NA,7100,1954,SANDUMA
SANGAL PAPERS LTD.,SANGAL PAPERS,17093,1980,NA
SANGAM (INDIA) LTD.,SANGAM (INDIA),13121,1984,SANGAMIND
MILESTONE GLOBAL LTD.,MILESTONE GLOBAL,8102,1990,NA
SANGHI INDUSTRIES LTD.,SANGHI INDS.,23941,1985,SANGHIIND
SANGHVI MOVERS LTD.,NA,77,1989,SANGHVIMOV
FINKURVE FINANCIAL SERVICES LTD.,SANJAY LEAS.,64990,1984,NA
VAMA INDUSTRIES LTD.,NA,46909,1985,NA
SANJIVANI PARANTERAL LTD.,SANJIVANI PARANTERAL,21001,1994,NA
SANKHYA INFOTECH LTD.,NA,62013,1997,NA
SANMITRA COMMERCIAL LTD.,NA,64300,1985,NA
CREDITACCESS GRAMEEN LTD.,SANNI COLLECTION,64990,1991,CREDITACC
SANRHEA TECHNICAL TEXTILES LTD.,NA,13121,1983,NA
SANSERA ENGINEERING LTD.,SANSERA ENGG.,29209,1981,SANSERA
JAYATMA INDUSTRIES LTD.,NA,46411,1983,NA
SANTOSH FINE-FAB LTD.,NA,13121,1981,NA
SANWARIA CONSUMER LTD.,NA,64191,1991,SANWARIA
INDIANIVESH LTD.,NA,64300,1931,NA
SAPTARISHI AGRO INDS. LTD.,SAPTARISHI AGRO,1136,1992,NA
SAR AUTO PRODUCTS LTD.,SAR AUTO PRODUCTS,29301,1987,NA
PINCON SPIRIT LTD.,NA,11011,1978,PINCON
SARASWATI COMMERCIAL (INDIA) LTD.,NA,64300,1983,NA
ISGEC HEAVY ENGG. LTD.,NA,46599,1933,ISGEC
TAHMAR ENTERPRISES LTD.,NA,46696,1991,NA
DUROPLY INDUSTRIES LTD.,SARDA PLYWOOD INDS.,16211,1957,NA
SARDA PROTEINS LTD.,NA,46305,1991,NA
SAREGAMA INDIA LTD.,SAREGAMA,46909,1946,SAREGAMA
VEDAVAAG SYSTEMS LTD.,NA,62013,1998,NA
KKALPANA PLASTICK LTD.,NA,64990,1989,NA
SARLA PERFORMANCE FIBERS LTD.,NA,20203,1993,SARLAPOLY
SARTHAK METALS LTD.,SARTHAK METALS MKTG.,24108,1995,SMLT
SARUP INDUSTRIES LTD.,NA,15201,1979,NA
SARVAMANGAL MERCANTILE CO. LTD.,NA,64300,1983,NA
SASKEN TECHNOLOGIES LTD.,NA,62013,1989,SASKEN
SAT INDUSTRIES LTD.,NA,64300,1984,SATINDLTD
SATI POLY PLAST LTD.,SATI POLY PLAST,20131,1999,SATIPOLY
SATIA INDUSTRIES LTD.,SATIA PAPER MILLS,17093,1980,SATIA
SATIN CREDITCARE NETWORK LTD.,NA,64990,1990,SATIN
KOHINOOR FOODS LTD.,NA,10799,1989,KOHINOOR
SATYAM SILK MILLS LTD.,SATYAM SILK MILLS,64191,1983,NA
SAUMYA CONSULTANTS LTD.,SAUMYA CONSULT.,64300,1993,NA
SAURASHTRA CEMENT LTD.,SAURASHTRA CEMENT,23942,1956,SAURASHCEM
SAVANI FINANCIALS LTD.,SAVANI FINANCIALS,64990,1983,NA
SAVEN TECHNOLOGIES LTD.,NA,62013,1993,NA
SAVERA INDUSTRIES LTD.,NA,55101,1969,SAVERA
SAVITA OIL TECHNOLOGIES LTD.,NA,19201,1961,SOTL
JINDAL SAW LTD.,NA,24311,1984,JINDALSAW
SAWACA BUSINESS MACHINES LTD.,NA,46691,1994,NA
ASYA INFOSOFT LTD.,NA,282,1985,NA
SAYAJI HOTELS LTD.,SAYAJI HOTELS,55101,1982,SAYAJIHOTL
SAYAJI INDUSTRIES LTD.,NA,10621,1941,NA
SCAN ORGANICS PVT. LTD.,SCAN ORGANICS,46909,1988,NA
REFEX RENEWABLES & INFRASTRUCTURE LTD.,NA,70200,1994,NA
SCANPOINT GEOMATICS LTD.,SCANPOINT GRAPHICS,46909,1992,NA
ELANTAS BECK INDIA LTD.,BECK INDIA,20221,1956,DRBECK
INTEGRA ENGINEERING INDIA LTD.,NA,27104,1981,NA
DUNCAN ENGINEERING LTD.,SCHRADER DUNCAN,28120,1961,NA
SCINDIA STEAM NAVIGATION CO. LTD.,NA,64191,1919,NA
SCINTILLA COMMERCIAL & CREDIT LTD.,NA,64990,1990,NA
PRABHHANS INDUSTRIES LTD.,NA,46411,1993,NA
K M C SPECIALITY HOSPITALS (INDIA) LTD.,NA,86100,1982,NA
JUNIPER HOTELS LTD.,JUNIPER HOTELS,55101,1985,JUNIPER
U P L LTD.,UPL,2021,1985,UPL
POLO QUEEN INDL. & FINTECH LTD.,SEARCHLIGHT INDIA,46691,1984,NA
HINDUSTAN MEDIA VENTURES LTD.,NA,58131,1918,HMVL
SEASONS TEXTILES LTD.,SEASONS TEXTILES,13121,1986,NA
S I S LTD.,NA,80,1985,SIS
SEJAL GLASS LTD.,NA,23101,1998,SEJALLTD
SELAN EXPLORATION TECHNOLOGY LTD.,NA,610,1985,SELAN
STELLANT SECURITIES (INDIA) LTD.,NA,66190,1991,NA
SELLWIN TRADERS LTD.,NA,46909,1980,NA
CHOKSI IMAGING LTD.,CHOKSI IMAGING,34,1992,NA
SENCO GOLD LTD.,SENCO GOLD,32111,1994,SENCO
SENTHIL INFOTEK LTD.,SENTHIL INFOTEK,62013,1997,NA
S T E L HOLDINGS LTD.,NA,64300,1990,STEL
BHARAT GLOBAL DEVELOPERS LTD.,SEQUEL E-ROUTERS,1199,1992,NA
C E S LTD.,SERVEALL,63999,1985,NA
LEXORAA INDUSTRIES LTD.,NA,66,1994,NA
VEDANTA LTD.,SESA GOA,2420,1965,VEDL
SESHASAYEE PAPER & BOARDS LTD.,SESHASAYEE PAPER,17021,1960,SESHAPAPER
SATIATE AGRI LTD.,SHABA CHEMICALS,46101,1986,NA
SHAH ALLOYS LTD.,NA,24105,1990,SHAHALLOYS
SHAH CONSTRUCTION CO. LTD.,SHAH CONST. CO.,77,1949,NA
SHAH FOODS LTD.,SHAH FOODS,10712,1982,NA
SHAHI SHIPPING LTD.,NA,50,1990,NA
SHAIVAL REALITY LTD.,SHAIVAL REALITY,34,1996,SHAIVAL
SHAKTI PRESS LTD.,ee,58111,1993,NA
SHAKTI PUMPS (INDIA) LTD.,NA,28132,1995,SHAKTIPUMP
ARIHANT SUPERSTRUCTURES LTD.,NA,41001,1983,ARIHANTSUP
SHALIBHADRA FINANCE LTD.,NA,64920,1992,NA
SHALIMAR AGENCIES LTD.,SHALIMAR AGENCIES,64300,1981,NA
SHALIMAR PRODUCTIONS LTD.,NA,59113,1985,NA
SHALIMAR PAINTS LTD.,NA,20221,1902,SHALPAINTS
SHALIMAR WIRES INDS. LTD.,SWIL,13999,1996,NA
ALSTONE TEXTILES (INDIA) LTD.,SHALINI HOLDINGS,46411,1985,NA
SHAMROCK INDUSTRIAL CO. LTD.,SHAMROCK INDL. CO.,46497,1991,NA
SHANGAR DECOR LTD.,SHANGAR DECOR,900,1995,NA
SHANKARA BUILDING PRODUCTS LTD.,SHANKARA PIPES INDIA,47,1995,SHANKARA
52 WEEKS ENTERTAINMENT LTD.,NA,64191,1993,NA
SHANTHI GEARS LTD.,NA,28140,1972,SHANTIGEAR
ECO HOTELS & RESORTS LTD.,NA,64300,1987,NA
SHARAT INDUSTRIES LTD.,SHARAT INDS.,10204,1990,SHARTSEFOD
SHARDA ISPAT LTD.,NA,24105,1960,NA
SHARDA MOTOR INDS. LTD.,SHARDA MOTOR INDS.,29209,1986,SHARDAMOTR
SHARMA EAST INDIA HOSPITALS & MEDICAL RESEARCH LTD.,NA,86100,1989,NA
SHARON BIO-MEDICINE LTD.,SHARON BIO-MEDICINE,2100,1989,SHARONBIO
SHARP CHUCKS & MACHINES LTD.,NA,24319,1994,SCML
SHARP INVESTMENTS LTD.,SHARP INVSTS.,64990,1977,NA
TRINITY TRADELINK LTD.,NA,46909,1985,NA
CREST VENTURES LTD.,SHARYANS RESOURCES,64920,1982,CREST
SHASHANK TRADERS LTD.,SHASHANK TRADERS,4761,1985,NA
NARMADA GELATINES LTD.,NA,20295,1961,SHAWGELTIN
S C AGROTECH LTD.,SHEEL INTL.,46101,1990,NA
SHEELA FOAM LTD.,SHEELA FOAM,22199,1971,SFL
RAJNISH RETAIL LTD.,NA,47739,1994,NA
SHEKHAWATI INDUSTRIES LTD.,SHEKHAWATI POLY-YARN,46909,1990,SHEKHAWATI
SHENTRACON CHEMICALS LTD.,NA,64300,1993,NA
SHERATON PROPERTIES & FINANCE LTD.,NA,64300,1985,NA
SHERVANI INDUSTRIAL SYNDICATE LTD.,NA,41001,1948,NA
SHETRON LTD.,SHETRON,24203,1980,SHETRON
SHIKHAR CONSULTANTS LTD.,NA,64191,1993,NA
SHILCHAR TECHNOLOGIES LTD.,SHILCHAR ELECTRONICS,27102,1986,NA
SHILP GRAVURES LTD.,SHILP,28293,1993,NA
SHILPA MEDICARE LTD.,SHILPA MEDICARE,34,1987,SHILPAMED
SMITHS & FOUNDERS (INDIA) LTD.,SHIMOGA TECHNOLOGIES,25910,1990,NA
SHIPPING CORPN. OF INDIA LTD.,NA,50,1950,SCI
SHIV KAMAL IMPEX LTD.,SHIV KAMAL IMPEX,64990,1985,NA
BIO GREEN PAPERS LTD.,NA,62013,1994,NA
SHIVA CEMENT LTD.,NA,23941,1985,NA
SHIVA GLOBAL AGRO INDS. LTD.,SHIVA FERTILIZERS,20129,1993,NA
BANDARAM PHARMA PACKTECH LTD.,NA,170,1993,NA
SHIVA SUITINGS LTD.,SHIVA SUITINGS,46411,1985,NA
SHIVAGRICO IMPLEMENTS LTD.,NA,24105,1979,NA
SHIVALIK BIMETAL CONTROLS LTD.,SBCL,24105,1984,SBCL
S T L GLOBAL LTD.,NA,13911,1997,SGL
SHIVALIK RASAYAN LTD.,SHIVALIK RASAYAN,20211,1979,SHIVALIK
SHOPPERS STOP LTD.,SHOPPER'S STOP,471,1997,SHOPERSTOP
SHRADHA INDUSTRIES LTD.,SHRADHA INDS.,62013,1990,NA
SHRADHA INFRAPROJECTS LTD.,SHRADHA REALTY,41001,1997,SHRADHA
SHREE AJIT PULP & PAPER LTD.,NA,17014,1995,NA
SHREE AMBESHWAR PAPER MILLS LTD.,NA,17015,1980,SHREAMBPPR
SHREE CEMENT LTD.,SHREE CEMENT,23941,1979,SHREECEM
S V P GLOBAL TEXTILES LTD.,SCENARIO MEDIA,13121,1982,SVPGLOB
SHREE DIGVIJAY CEMENT CO. LTD.,SDCCL,23941,1944,SHREDIGCEM
SHREE GANESH ELASTOPLAST LTD.,NA,64300,1994,NA
SHREE GANESH REMEDIES LTD.,regis,2100,1995,NA
LLOYDS ENTERPRISES LTD.,NA,46620,1986,LLOYDSENT
SHREE HANUMAN SUGAR & INDS. LTD.,NA,46909,1932,NA
SHREE HARI CHEMICALS EXPORT LTD.,NA,20119,1987,NA
SHREE KARTHIK PAPERS LTD.,NA,17013,1991,NA
SHREE KRISHNA INFRASTRUCTURE LTD.,NA,41001,1990,NA
SHREE KRISHNA PAPER MILLS & INDS. LTD.,NA,17013,1972,NA
SHREE MANUFACTURING CO. LTD.,SHREE MFG. CO.,46411,1976,NA
SHREE NARMADA ALUMINIUM INDS. LTD.,SNAIL,46620,1981,NA
EMERGENT INDUSTRIAL SOLUTIONS LTD.,SHREE OM TRADES,46620,1983,NA
SHREE PACETRONIX LTD.,SHREE PACETRONIX,26600,1988,NA
AJMERA REALTY & INFRA INDIA LTD.,NA,41001,1985,AJMERA
SHREE PUSHKAR CHEMICALS & FERTILISERS LTD.,-,20114,1993,SHREEPUSHK
SHREE RAJASTHAN SYNTEX LTD.,NA,13111,1979,SHRERAJSYN
SHREE RAJESHWARANAND PAPER MILLS LTD.,NA,64300,1991,NA
SHREE RAJIVLOCHAN OIL EXTRACTION LTD.,NA,64191,1994,NA
SHREE RAM URBAN INFRASTRUCTURE LTD.,SHREE RAM MILLS,41001,1935,NA
SHREE RAMA MULTI-TECH LTD.,SHREE RAMA,22203,1993,SHREERAMA
SHREE RENUKA SUGARS LTD.,SHREE RENUKA SUGARS,10721,1995,RENUKA
SHREE SALASAR INVESTMENTS LTD.,NA,77,1980,NA
SHREE SECURITIES LTD.,SHREE SECURITIES,64990,1994,NA
T SPIRITUAL WORLD LTD.,NA,64191,1986,NA
SHREE STEEL WIRE ROPES LTD.,NA,24108,1992,NA
R R METALMAKERS INDIA LTD.,NA,46620,1995,NA
SHREE TULSI ONLINE.COM LTD.,NA,64191,1982,NA
UNIFINZ CAPITAL INDIA LTD.,SHREE WORSTEX,64990,1982,NA
SHREEJI TRANSLOGISTICS LTD.,NA,52219,1994,NA
H C K K VENTURES LTD.,NA,62013,1983,NA
SHREENATH INVESTMENT CO. LTD.,SHREENATH INVST. CO.,46909,1979,NA
SHAH METACORP LTD.,NA,24103,1999,SHAH
SHREEVATSAA FINANCE & LEASING LTD.,NA,64990,1986,NA
GOLDEN CREST EDUCATION & SERVICES LTD.,NA,66190,1982,NA
SHREYANS INDUSTRIES LTD.,NA,17013,1979,SHREYANIND
SHREYAS INTERMEDIATES LTD.,NA,77,1989,NA
SHREYAS SHIPPING & LOGISTICS LTD.,NA,50,1988,TRANSWORLD
SHRI BAJRANG ALLIANCE LTD.,NA,25111,1990,NA
ARCHIT ORGANOSYS LTD.,NA,20,1993,NA
SHRI DINESH MILLS LTD.,NA,13123,1935,SHRIDINESH
SHRI JAGDAMBA POLYMERS LTD.,NA,13999,1985,NA
SHRI KALYAN HOLDINGS LTD.,NA,64990,1993,NA
ZENLABS ETHICA LTD.,NA,46497,1993,NA
SHRI MAHALAXMI AGRICULTURAL DEVP. LTD.,NA,47510,1993,NA
SHRI RAM SWITCHGEARS LTD.,SHRI RAM SWITCHGEARS,27102,1985,SRIRAM
SRI HAVISHA HOSPITALITY & INFRASTRUCTURE LTD.,NA,55101,1993,HAVISHA
SHRICON INDUSTRIES LTD.,SHRICON INDS.,34,1984,NA
SHRI NIWAS LEASING & FINANCE LTD.,NA,64990,1984,NA
SHRIRAM ASSET MGMT. CO. LTD.,NA,64191,1994,NA
SHRIRAM PISTONS & RINGS LTD.,NA,2811,1963,SHRIPISTON
SHRIRAM FINANCE LTD.,STFC,64920,1979,SHRIRAMFIN
SHARDUL SECURITIES LTD.,NA,64300,1985,SHRIYAMSEC
GEETANJALI CREDIT & CAPITAL LTD.,SHUBH INTL.,64990,1990,NA
VISTAR AMAR LTD.,NA,46303,1983,NA
EXPLICIT FINANCE LTD.,EXPLICIT FINANCE,64191,1994,NA
SHUKRA BULLIONS LTD.,SHUKRA BULLIONS,46697,1995,NA
SHUKRA JEWELLERY LTD.,NA,46697,1991,SHUKRADIAM
SWARNSARITA JEWELS INDIA LTD.,NA,32111,1992,NA
SHYAM TELECOM LTD.,SHYAM TELECOM,64191,1992,SHYAMTEL
SHYAMKAMAL INVESTMENTS LTD.,NA,64191,1982,NA
SIBAR AUTO PARTS LTD.,NA,2811,1983,NA
SHIVAMSHREE BUSINESSES LTD.,SIDDARTH BUSINESSES,46909,1983,NA
SIDDHESWARI GARMENTS LTD.,SIDDHESWARI GARMENTS,64191,1994,NA
SIDH AUTOMOBILES LTD.,SIDH AUTOMOBILES,46909,1985,NA
SIEMENS LTD.,SIEMENS,28199,1957,SIEMENS
SIGACHI INDUSTRIES LTD.,NA,20119,1989,SIGACHI
EQUIPPP SOCIAL IMPACT TECHNOLOGIES LTD.,NA,63999,2002,EQUIPPP
SIGNET INDUSTRIES LTD.,SIGNET OVERSEAS,222,1985,SIGIND
SIKA INTERPLANT SYSTEMS LTD.,NA,28162,1985,NA
SIKKO INDUSTRIES LTD.,SIKKO SPRAYERS,20,2000,SIKKO
SILICON VALLEY INFOTECH LTD.,NA,66190,1993,PRASGLOFIN
POLYSIL IRRIGATION SYSTEMS LTD.,SILVASSA PIPES,22209,1985,POLYSIL
SILVER OAK (INDIA) LTD.,NA,34,1984,NA
OROSIL SMITHS INDIA LTD.,SSIL,32111,1994,NA
SILVER TOUCH TECHNOLOGIES LTD.,NA,62013,1995,SILVERTUC
SILVERLINE TECHNOLOGIES LTD.,SILVERLINE,62013,1992,SILVERLINE
SILVEROAK COMMERCIALS LTD.,NA,42909,1985,NA
SIMMONDS MARSHALL LTD.,SIMMONDS MARSHALL,29209,1960,NA
SIMPLEX CASTINGS LTD.,NA,24319,1980,SIMPLEXCAS
SIMPLEX INFRASTRUCTURES LTD.,NA,42909,1924,SIMPLEXINF
SIMPLEX REALTY LTD.,SIMPLEX REALTY,64990,1912,NA
SIMPLEX PAPERS LTD.,NA,64300,1994,NA
SIMRAN FARMS LTD.,SIMRAN FARMS,1463,1984,NA
SINCLAIRS HOTELS LTD.,NA,55101,1971,SINCLAIR
SINDU VALLEY TECHNOLOGIES LTD.,NA,46909,1976,NA
SINGER INDIA LTD.,SINGER INDIA,46599,1977,SINGER
RESPONSIVE INDUSTRIES LTD.,NA,22209,1982,RESPONIND
SINNAR BIDI UDYOG LTD.,SINNAR BIDI UDYOG,1150,1974,NA
MUZALI ARTS LTD.,SINNER ENERGY INDIA,46909,1995,NA
SIR SHADI LAL ENTERPRISES LTD.,SSLEL,10721,1933,NA
HINDOOSTAN MILLS LTD.,NA,13121,1904,NA
AROMA ENTERPRISES (INDIA) LTD.,NA,64191,1994,NA
TYCHE INDUSTRIES LTD.,NA,2100,1998,NA
SITA ENTERPRISES LTD.,NA,64300,1982,NA
SIYARAM SILK MILLS LTD.,NA,13121,1978,SIYSIL
I T D CEMENTATION INDIA LTD.,I T D CEMENTATION,42909,1978,ITDCEM
SKIPPER LTD.,SKIPPER STEELS,25999,1981,SKIPPER
SKY INDUSTRIES LTD.,SKY INDUSTRIES,13999,1989,NA
SHARANAM INFRAPROJECT & TRDG. LTD.,SKYHIGH PROJECTS,46909,1992,NA
SMRUTHI ORGANICS LTD.,SMRUTHI ORGANICS,2100,1989,NA
SNOWMAN LOGISTICS LTD.,SNOWMAN FROZEN FOODS,46909,1993,SNOWMAN
SOBHA LTD.,SDLOP,41001,1995,SOBHA
SOBHAYGYA MERCANTILE LTD.,NA,24,1983,NA
SOFCOM SYSTEMS LTD.,SOFCOM SYSTEMS,62013,1995,NA
QUINTEGRA SOLUTIONS LTD.,QUINTEGRA SOLUTIONS,62013,1994,QUINTEGRA
CURA TECHNOLOGIES LTD.,SOFTPRO SYSTEMS,62013,1991,CURATECH
SOFTRAK VENTURE INVST. LTD.,NA,46109,1993,NA
SOFTSOL INDIA LTD.,SOFTSOL INDIA,46909,1990,NA
SOLAR INDUSTRIES INDIA LTD.,SOLAR EXPLOSIVES,20292,1995,SOLARINDS
SOLID STONE CO. LTD.,SOLID GRANITES,47,1990,NA
SOLITAIRE MACHINE TOOLS LTD.,NA,28221,1967,NA
TECHNVISION VENTURES LTD.,SOLIX TECHNOLOGIES,62013,1980,NA
SOM DATT FINANCE CORPN. LTD.,NA,64300,1993,SOMDUTTFIN
SOM DISTILLERIES & BREWERIES LTD.,NA,11031,1993,SDBL
SOMA PAPERS & INDS. LTD.,SPIL,64300,1991,NA
SOMA TEXTILES & INDS. LTD.,NA,34,1940,SOMATEX
J T E K T INDIA LTD.,NA,29301,1984,JTEKTINDIA
SONA B L W PRECISION FORGINGS LTD.,NA,29301,1995,SONACOMS
SONAL ADHESIVES LTD.,NA,22209,1991,NA
SONAL MERCANTILE LTD.,SONAL MERCANTILE,64990,1985,NA
SONATA SOFTWARE LTD.,SONATA SOFTWARE,62013,1994,SONATSOFTW
ECO RECYCLING LTD.,NA,46511,1994,NA
SONI MEDICARE LTD.,SONI MEDICARE,86100,1988,NA
PRIME PROPERTY DEVP. CORPN. LTD.,NA,64191,1992,NA
SOPHIA TRAEXPO LTD.,SOPHIA FINANCE,46909,1983,NA
SOUTH ASIAN ENTERPRISES LTD.,NA,46909,1990,NA
SEAMEC LTD.,NA,77,1986,SEAMECLTD
SICAL LOGISTICS LTD.,NA,522,1955,SICALLOG
SOUTH INDIA PAPER MILLS LTD.,NA,17015,1959,SIPAPER
MAGELLANIC CLOUD LTD.,SOUTH INDIA PROJECTS,62013,1981,NA
SOUTH INDIAN BANK LTD.,SIBL,64191,1929,SOUTHBANK
SOUTHERN GAS LTD.,SOUTHERN GAS,20116,1963,NA
SOUTHERN INFOSYS LTD.,SOUTHERN INFOSYS,46511,1994,NA
SOUTHERN LATEX LTD.,SOUTHERN LATEX,64191,1989,NA
SOUTHERN MAGNESIUM & CHEMICALS LTD.,NA,8109,1985,NA
SOUTHERN ONLINE BIO TECHNOLOGIES LTD.,NA,20293,1998,NA
SOUTHERN PETROCHEMICAL INDS. CORPN. LTD.,NA,2012,1969,SPIC
SOVEREIGN DIAMONDS LTD.,NA,32111,1974,NA
VINTAGE COFFEE & BEVERAGES LTD.,SPACEAGE PRODUCTS,47211,1980,VINCOFE
SPAN DIVERGENT LTD.,NA,649,1980,NA
SPARC ELECTREX LTD.,SPARC SYSTEMS,46620,1989,NA
SPECIALITY RESTAURANTS LTD.,NA,56301,1999,SPECIALITY
SPECTRA INDUSTRIES LTD.,SPECTRA INDS.,34,1992,NA
SPECTRUM FOODS LTD.,SPECTRUM FOODS,10798,1994,NA
LIKHAMI CONSULTING LTD.,SPECTRUM RESOURCES,70200,1982,NA
M LAKHAMSI INDUSTRIES LTD.,NA,46305,1985,NA
SPEEDAGE COMMERCIALS LTD.,NA,64300,1984,NA
SPENTA INTERNATIONAL LTD.,NA,14309,1986,NA
C L C INDUSTRIES LTD.,SPENTEX INDS.,13111,1991,SPENTEX
SPICE ISLANDS INDS. LTD.,NA,1410,1988,NA
DIGISPICE TECHNOLOGIES LTD.,SPICE,64300,1986,DIGISPICE
SPORTKING INDIA LTD.,SPORTKING INDIA,13111,1989,SPORTKING
VARIMAN GLOBAL ENTERPRISES LTD.,NA,46909,1993,NA
SREE JAYALAKSHMI AUTOSPIN LTD.,NA,1299,1991,NA
T G V SRAAC LTD.,NA,20119,1981,SREERAYALK
CELLA SPACE LTD.,NA,77,1991,NA
SREECHEM RESINS LTD.,SREECHEM RESINS,20131,1988,NA
SRI ADHIKARI BROTHERS TELEVISION NETWORK LTD.,NA,59113,1994,SABTNL
SRI AMARNATH FINANCE LTD.,SRI AMARNATH FINANCE,64990,1985,NA
SRI LAKSHMI SARASWATHI TEXTILES (ARNI) LTD.,NA,13111,1964,NA
SRI NACHAMMAI COTTON MILLS LTD.,NA,13111,1980,NA
SRI RAMAKRISHNA MILLS (COIMBATORE) LTD.,NA,41001,1946,NA
CRIMSON METAL ENGG. CO. LTD.,NA,77,1985,NA
SRI CHAKRA CEMENT LTD.,SRICHAKRA CEMENTS,23941,1981,NA
SEYA INDUSTRIES LTD.,NA,20119,1990,SEYAIND
S S P D L LTD.,NA,41001,1994,NA
SRIVEN MULTI-TECH LTD.,SRIVEN MULTI-TECH,82990,1995,NA
SRU STEELS LTD.,SRU KNITTERS,46620,1995,NA
ENCODE PACKAGING INDIA LTD.,SRU SHARE BROKERS,46496,1994,NA
STANDARD BATTERIES LTD.,NA,64300,1945,STANDRDBAT
MAGNUS RETAIL LTD.,SAVANT INFOCOMM,47,1978,NA
STANDARD CAPITAL MARKETS LTD.,STANDARD CAPITAL,64990,1987,NA
STANDARD INDUSTRIES LTD.,NA,46411,1892,SIL
STANDARD SURFACTANTS LTD.,NA,20233,1989,NA
STANPACKS (INDIA) LTD.,NA,22203,1991,NA
STANROSE MAFATLAL INVESTMENTS & FINANCE LTD.,NA,64300,1980,NA
